barcode,name,category,quantity,cost,price,expiry,threshold,distributor,manufacturer,synced,image_url
06782900,Coca-cola Classique,"Beverages, Carbonated drinks, Sodas, Colas, Sweetened beverages",14,0,0,,0,,,False,https://images.openfoodfacts.org/images/products/000/000/678/2900/front_en.24.200.jpg
628915552935,Haricots noirs,Uncategorized,2,0,0,,0,,,False,https://images.openfoodfacts.org/images/products/062/891/555/2935/front_en.11.200.jpg
055000600460,Lifesavers,Uncategorized,3,0,0,,0,,,False,https://images.openfoodfacts.org/images/products/005/500/060/0460/front_fr.3.200.jpg
0067800002467,Red Kidney Beans,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Canned plant-based foods, Canned legumes, Canned common beans, Canned-kidney-common-beans",0,0,0,,0,,,False,https://images.openfoodfacts.org/images/products/006/780/000/2467/front_en.34.200.jpg
067800002467,Red Kidney Beans,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Canned plant-based foods, Canned legumes, Canned common beans, Canned-kidney-common-beans",3,0,0,,0,,,False,https://images.openfoodfacts.org/images/products/006/780/000/2467/front_en.34.200.jpg
